case_name,agent_type,image_path,input_state,output,duration_sec,bbox_path,status,error
bedroom_move_bottle,orchestra,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\global.jpg,"{""longHorizon_command"": ""整理主卧，先把桌子上的瓶子放到盘子里""}","用户需求分析：当前视角为客厅（含餐桌、沙发、厨房区域），用户要求“整理主卧，先把桌子上的瓶子放到盘子里”。主卧不在当前视野内，需先移动至主卧；任务核心是将主卧桌上的瓶子放入盘子，属于局部整理动作，应归为“整理主卧”而非更细粒度动作，因指令明确指向房间级整理目标。

子任务拆解：['移动至主卧(本体移动)', '整理主卧(局部任务)']",7.178,,success,
bedroom_move_bottle,decompose,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\local.png,"{""current_intention"": ""整理客厅，先把水瓶放到盘子里""}","['导航至蓝色桌布小桌边(导航)', '拿起水瓶放入盘子中(动作)']",4.782,,success,
bedroom_move_bottle,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\0_initial.png,"{""subtask_list"": [""导航至蓝色桌布小桌边(导航)"", ""拿起水瓶放入盘子中(动作)""], ""last_task"": null, ""current_task"": ""导航至蓝色桌布小桌边(导航)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","分析：当前视角已正对蓝色桌布小桌，机器人底座紧邻桌面边缘，距离小于0.5米。  
最终状态：[done]",4.538,,success,
bedroom_move_bottle,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\0_initial.png,"{""subtask_list"": [""导航至蓝色桌布小桌边(导航)"", ""拿起水瓶放入盘子中(动作)""], ""last_task"": ""导航至蓝色桌布小桌边(导航)"", ""current_task"": ""拿起水瓶放入盘子中(动作)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","分析：水瓶仍在桌面上，未被夹爪抓取，更未放入盘中。  
最终状态：[doing]",4.362,,success,
bedroom_move_bottle,action_decision,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\0_initial.png,"{""subtask_list"": [""导航至蓝色桌布小桌边(导航)"", ""拿起水瓶放入盘子中(动作)""], ""last_task"": ""导航至蓝色桌布小桌边(导航)"", ""current_task"": ""拿起水瓶放入盘子中(动作)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","<left><grasp>  (水瓶)  [550, 470, 610, 580]",4.237,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\0_initial_bbox.png,success,
bedroom_move_bottle,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\1_grasp.png,"{""subtask_list"": [""导航至蓝色桌布小桌边(导航)"", ""拿起水瓶放入盘子中(动作)""], ""last_task"": ""导航至蓝色桌布小桌边(导航)"", ""current_task"": ""拿起水瓶放入盘子中(动作)"", ""last_action"": ""grasp"", ""gripper_right"": 60.0, ""gripper_left"": 100.0}","分析：水瓶被夹爪抓持悬空，尚未放入盘中，未稳定放置。  
最终状态：[doing]",4.333,,success,
bedroom_move_bottle,action_decision,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\1_grasp.png,"{""subtask_list"": [""导航至蓝色桌布小桌边(导航)"", ""拿起水瓶放入盘子中(动作)""], ""last_task"": ""导航至蓝色桌布小桌边(导航)"", ""current_task"": ""拿起水瓶放入盘子中(动作)"", ""last_action"": ""grasp"", ""gripper_right"": 60.0, ""gripper_left"": 100.0}","<right><place>  (水瓶)  [245, 428, 595, 784]",4.52,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\1_grasp_bbox.png,success,
bedroom_move_bottle,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\2_move.png,"{""subtask_list"": [""导航至蓝色桌布小桌边(导航)"", ""拿起水瓶放入盘子中(动作)""], ""last_task"": ""导航至蓝色桌布小桌边(导航)"", ""current_task"": ""拿起水瓶放入盘子中(动作)"", ""last_action"": ""place"", ""gripper_right"": 60.0, ""gripper_left"": 100.0}","分析：水瓶已放入白色盘中，稳定放置于盘内网格上，夹爪已释放。  
最终状态：[done]",9.019,,success,
bedroom_move_bottle,decompose,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\local.png,"{""current_intention"": {""index"": 2, ""name"": ""整理主卧"", ""type"": ""动作"", ""agent_type"": ""action_decision"", ""status"": ""未完成""}}","['导航至床边(导航)', '整理床铺（拉平被子、归置枕头）(动作)', '导航至椅子旁(导航)', '将折叠椅移至墙边靠放(动作)', '导航至小桌旁(导航)', '收走桌上餐盘与餐具至厨房(导航+动作)', '导航至窗边衣物架(导航)', '挂起散落衣物(动作)']",5.646,,success,
bedroom_move_bottle,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_move_bottle\2_move.png,"{""subtask_list"": [""导航至床边(导航)"", ""整理床铺（拉平被子、归置枕头）(动作)"", ""导航至椅子旁(导航)"", ""将折叠椅移至墙边靠放(动作)"", ""导航至小桌旁(导航)"", ""收走桌上餐盘与餐具至厨房(导航+动作)"", ""导航至窗边衣物架(导航)"", ""挂起散落衣物(动作)""], ""last_task"": null, ""current_task"": ""导航至床边(导航)"", ""last_action"": null, ""gripper_right"": 60.0, ""gripper_left"": 100.0}","分析：当前任务为“导航至床边”，但图像中显示机器人正位于小桌旁（有餐盘、餐具），未见床，且底座未紧靠床。  
最终状态：[doing]",4.507,,success,
