case_name,agent_type,image_path,input_state,output,duration_sec,bbox_path,status,error
bedroom_placeBook,orchestra,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\global.png,"{""longHorizon_command"": ""整理主卧""}","用户需求分析：当前视角为厨房区域，可见通往主卧的门（左侧黑框门），用户要求“整理主卧”，需先移动至主卧，再执行对应整理任务。  
子任务拆解：['移动至主卧(本体移动)', '整理主卧(局部任务)']",6.773,,success,
bedroom_placeBook,decompose,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\local.png,"{""current_intention"": ""整理主卧，先把床上的书放到左侧床头柜上""}","['导航至床边(导航)', '拿起床上的书(动作)', '导航至左侧床头柜旁(导航)', '将书放到左侧床头柜上(动作)']",4.16,,success,
bedroom_placeBook,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\0_initial.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": null, ""current_task"": ""导航至床边(导航)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","分析：当前任务为“导航至床边”，图像中床可见，但机器人底座与床边距离明显大于0.5米，未紧靠。  
最终状态：[doing]",4.533,,success,
bedroom_placeBook,navi,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\0_initial.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": null, ""current_task"": ""导航至床边(导航)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","<navi>  (self)  [[520,680], [620,680], [630,780], [510,780]] [[700,380], [999,380], [999,999], [700,999]]",7.169,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\0_initial_bbox_navi.png,success,
bedroom_placeBook,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\1_arrivalBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": null, ""current_task"": ""导航至床边(导航)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","分析：当前任务为“导航至床边”，图像显示机器人已位于床边，底座紧贴床沿（距离＜0.5米）。  
最终状态：[done]",4.367,,success,
bedroom_placeBook,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\1_arrivalBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": ""导航至床边(导航)"", ""current_task"": ""拿起床上的书(动作)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","分析：当前任务为“拿起床上的书”，属抓取类任务；图像中书仍在床上，夹爪未接触或闭合抓取。  
最终状态：[doing]",4.026,,success,
bedroom_placeBook,action_decision,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\1_arrivalBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": ""导航至床边(导航)"", ""current_task"": ""拿起床上的书(动作)"", ""last_action"": null, ""gripper_right"": 100.0, ""gripper_left"": 100.0}","<left><grasp>  (书)  [410, 750, 490, 920]",5.134,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\1_arrivalBook_bbox.png,success,
bedroom_placeBook,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\2_graspBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": ""导航至床边(导航)"", ""current_task"": ""拿起床上的书(动作)"", ""last_action"": ""grasp"", ""gripper_right"": 50.0, ""gripper_left"": 100.0}","分析：任务为“拿起床上的书”，夹爪正接触书本但未闭合抓稳，书仍在床上未离面。  
最终状态：[doing]",4.0,,success,
bedroom_placeBook,action_decision,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\2_graspBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": ""导航至床边(导航)"", ""current_task"": ""拿起床上的书(动作)"", ""last_action"": ""grasp"", ""gripper_right"": 50.0, ""gripper_left"": 100.0}","<right><grasp>  (书)  [470, 350, 560, 540]",5.831,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\2_graspBook_bbox.png,success,
bedroom_placeBook,action_state_checker,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\3_arrivalBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": ""导航至床边(导航)"", ""current_task"": ""拿起床上的书(动作)"", ""last_action"": ""grasp"", ""gripper_right"": 50.0, ""gripper_left"": 100.0}","分析：当前任务为“拿起床上的书”，但图像中书位于床头柜上，且机械臂正伸向该书，尚未接触或抓取。  
最终状态：[doing]",4.544,,success,
bedroom_placeBook,action_decision,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\3_arrivalBook.png,"{""subtask_list"": [""导航至床边(导航)"", ""拿起床上的书(动作)"", ""导航至左侧床头柜旁(导航)"", ""将书放到左侧床头柜上(动作)""], ""last_task"": ""导航至床边(导航)"", ""current_task"": ""拿起床上的书(动作)"", ""last_action"": ""grasp"", ""gripper_right"": 50.0, ""gripper_left"": 100.0}","<right><grasp>  (书)  [470, 410, 560, 590]",3.728,D:\w00955682\RoboCerebrum\LangGraph_threeLevel_reconstruct\Brain\data\w10_0616\bedroom_placeBook\3_arrivalBook_bbox.png,success,
